,Close
295,61.200001
536,100.0
406,53.849998
463,72.349998
308,62.049999
521,94.699997
26,134.550003
541,100.099998
148,78.5
502,84.75
307,63.0
203,55.349998
105,131.449997
303,63.75
114,130.0
91,138.550003
575,122.199997
431,54.200001
331,61.75
464,74.5
249,53.650002
121,134.0
49,139.100006
236,55.450001
563,105.099998
22,124.25
179,81.5
201,56.150002
157,82.199997
147,84.150002
145,81.550003
284,63.299999
356,60.150002
403,53.950001
178,84.449997
229,70.5
547,104.449997
101,126.550003
474,75.099998
469,74.099998
42,137.300003
552,111.0
41,132.100006
619,135.050003
353,53.650002
572,122.199997
483,74.050003
204,58.049999
125,113.650002
175,84.550003
329,64.300003
512,91.900002
592,120.0
477,74.849998
267,61.450001
95,140.550003
182,80.449997
20,127.25
492,78.699997
498,83.349998
254,46.799999
188,75.849998
276,59.75
495,80.300003
585,117.400002
260,55.450001
256,55.549999
184,80.800003
292,57.799999
211,74.650002
381,47.5
415,52.650002
191,69.5
573,120.25
485,73.25
534,102.949997
27,132.600006
446,62.599998
216,65.400002
248,53.5
189,73.849998
344,64.400002
289,63.450001
70,128.350006
445,62.400002
518,93.800003
21,125.0
613,139.550003
396,54.950001
317,63.0
586,116.75
580,113.25
233,53.849998
223,67.199997
299,65.550003
160,76.550003
514,89.349998
604,124.5
309,61.299999
400,54.950001
258,57.849998
52,137.100006
314,62.599998
316,63.5
94,146.25
527,98.199997
362,56.200001
104,133.0
313,65.099998
413,53.0
560,106.449997
614,139.550003
241,59.0
405,54.049999
6,139.699997
494,77.599998
311,62.349998
326,68.699997
374,51.0
528,100.050003
455,67.300003
37,142.050003
562,107.699997
128,90.5
618,135.050003
370,50.150002
165,80.75
352,58.950001
391,51.400002
38,137.899994
378,47.400002
90,144.899994
12,125.199997
579,112.949997
286,63.200001
144,85.900002
332,63.200001
367,53.75
468,78.300003
25,133.550003
499,84.949997
163,80.400002
81,149.75
133,97.099998
1,140.649994
408,50.75
19,139.300003
29,149.75
334,64.400002
507,93.449997
602,123.199997
71,131.350006
83,155.5
291,60.799999
330,63.950001
53,136.149994
278,59.700001
173,86.25
481,75.650002
501,84.099998
346,65.0
103,138.649994
587,118.900002
32,141.25
149,78.800003
4,141.550003
218,68.699997
239,54.799999
235,54.299999
84,159.75
127,100.449997
143,89.150002
126,91.349998
152,82.199997
476,74.150002
240,56.099998
80,154.699997
117,131.300003
318,62.200001
23,125.849998
615,133.550003
598,127.349998
508,94.099998
533,99.449997
61,138.149994
108,137.100006
337,66.650002
611,134.649994
605,128.699997
44,143.699997
306,62.650002
89,150.649994
232,57.299999
470,75.099998
324,69.599998
168,79.650002
426,53.200001
220,67.5
167,80.599998
225,65.0
395,52.950001
7,139.399994
519,91.0
115,129.25
621,136.199997
355,58.950001
443,60.950001
245,53.599998
136,93.550003
416,50.650002
525,98.050003
425,53.950001
568,121.300003
538,99.900002
487,76.800003
436,60.700001
524,97.199997
564,103.699997
293,58.849998
589,119.949997
183,80.300003
219,69.0
279,59.5
414,53.099998
439,63.549999
228,69.550003
10,131.350006
601,127.050003
28,137.600006
482,74.800003
207,62.299999
393,54.599998
124,125.199997
69,132.449997
161,75.949997
194,60.5
137,94.199997
520,92.349998
565,107.550003
112,138.350006
325,69.949997
388,51.799999
100,135.350006
343,64.150002
312,64.599998
432,56.049999
341,64.449997
478,76.150002
566,116.5
549,106.050003
110,137.399994
461,71.150002
283,65.449997
281,62.799999
407,51.900002
187,79.599998
442,64.900002
122,133.050003
462,71.25
387,53.299999
584,116.300003
92,139.800003
410,53.049999
554,113.849998
195,56.75
62,137.75
616,127.400002
540,99.900002
174,83.900002
18,134.949997
523,97.599998
441,65.400002
45,139.0
302,65.550003
583,118.550003
130,90.400002
567,123.300003
50,137.949997
97,140.649994
197,54.200001
215,69.900002
238,54.450001
517,94.300003
