,Date,Open,High,Low,Adj Close,Volume
400,2023-03-01,53.5,55.349998,53.349998,54.950001,42854827
258,2022-08-04,55.75,58.650002,54.5,57.849998,420183405
52,2021-10-07,136.75,138.449997,136.050003,137.100006,7317664
314,2022-10-28,65.25,65.699997,62.299999,62.599998,56787309
316,2022-11-01,63.5,63.75,62.700001,63.5,50425928
94,2021-12-09,148.649994,148.649994,145.300003,146.25,18377899
527,2023-09-06,98.400002,98.849998,97.650002,98.199997,28329667
362,2023-01-05,56.950001,57.099998,55.599998,56.200001,34448671
104,2021-12-23,140.050003,140.75,132.100006,133.0,21934786
313,2022-10-27,64.099998,65.650002,63.5,65.099998,64853360
413,2023-03-21,53.849998,54.150002,52.650002,53.0,31632951
560,2023-10-26,107.5,108.0,101.25,106.449997,108605538
614,2024-01-15,139.550003,139.550003,139.550003,139.550003,0
241,2022-07-12,55.900002,59.650002,55.5,59.0,57986568
405,2023-03-09,55.099998,56.349998,53.900002,54.049999,56021946
6,2021-08-02,135.75,140.75,135.149994,139.699997,66909732
494,2023-07-20,78.050003,79.099998,77.300003,77.599998,40495235
311,2022-10-24,62.900002,62.950001,62.049999,62.349998,7775480
326,2022-11-16,69.949997,70.5,67.699997,68.699997,75425523
374,2023-01-23,51.900002,51.900002,50.650002,51.0,24658884
528,2023-09-07,98.650002,101.599998,98.199997,100.050003,111222776
455,2023-05-25,64.800003,68.199997,64.5,67.300003,139721311
37,2021-09-16,143.0,144.0,141.5,142.050003,17634206
562,2023-10-30,106.199997,108.599998,105.699997,107.699997,48282252
128,2022-01-27,98.0,98.0,90.449997,90.5,106488772
618,2024-01-19,130.5,135.5,128.0,135.050003,81155018
370,2023-01-17,53.0,53.099998,50.0,50.150002,77122987
165,2022-03-23,82.0,82.0,80.199997,80.75,12522850
352,2022-12-22,61.799999,62.049999,58.549999,58.950001,53936114
391,2023-02-16,50.799999,51.799999,50.450001,51.400002,48841966
38,2021-09-17,142.550003,146.899994,137.149994,137.899994,23264091
378,2023-01-30,47.900002,48.549999,46.700001,47.400002,54376637
90,2021-12-03,152.100006,152.800003,143.850006,144.899994,26452896
12,2021-08-10,131.0,131.449997,122.099998,125.199997,43164004
579,2023-11-23,113.599998,115.75,112.5,112.949997,56329090
286,2022-09-16,64.400002,65.0,61.099998,63.200001,196537446
144,2022-02-18,88.099998,88.400002,85.199997,85.900002,15037123
332,2022-11-24,62.299999,64.099998,62.049999,63.200001,90679986
367,2023-01-12,54.700001,55.0,52.950001,53.75,38856261
468,2023-06-13,77.900002,78.800003,76.699997,78.300003,81857154
25,2021-08-30,127.849998,135.449997,127.550003,133.550003,45239080
499,2023-07-27,83.349998,86.099998,82.800003,84.949997,77249384
163,2022-03-21,82.0,83.300003,79.25,80.400002,28669864
81,2021-11-22,158.25,158.25,136.800003,149.75,79417849
133,2022-02-03,98.5,98.5,96.099998,97.099998,9769090
1,2021-07-26,126.349998,143.75,125.300003,140.649994,249723854
408,2023-03-14,52.0,52.5,50.200001,50.75,52247904
19,2021-08-20,134.949997,141.449997,133.0,139.300003,53789580
29,2021-09-03,135.949997,151.399994,135.600006,149.75,113381518
334,2022-11-28,64.25,65.300003,63.799999,64.400002,53453545
507,2023-08-08,98.349998,100.300003,92.699997,93.449997,160236123
602,2023-12-28,124.900002,125.5,120.599998,123.199997,72865479
71,2021-11-04,130.0,132.399994,130.0,131.350006,4101820
83,2021-11-24,151.100006,156.399994,149.600006,155.5,53749976
291,2022-09-23,63.0,63.349998,60.400002,60.799999,56730282
330,2022-11-22,64.900002,64.900002,63.299999,63.950001,50715391
53,2021-10-08,138.0,138.0,135.699997,136.149994,6207969
278,2022-09-06,60.299999,60.799999,59.400002,59.700001,70186636
173,2022-04-04,84.400002,87.699997,84.400002,86.25,18040882
481,2023-07-03,75.449997,77.25,74.550003,75.650002,49243205
501,2023-07-31,87.0,87.150002,83.699997,84.099998,49093355
